date	userType	sessions	users	sessionDuration	avgSessionDuration
20140315	Returning Visitor	33	22	54835.0	1661.6666666666667
20140316	Returning Visitor	37	20	51147.0	1382.3513513513512
20140317	Returning Visitor	52	27	78069.0	1501.326923076923
20140318	Returning Visitor	35	20	76616.0	2189.0285714285715
20140319	Returning Visitor	47	23	109488.0	2329.531914893617
20140320	Returning Visitor	38	18	88571.0	2330.815789473684
20140321	Returning Visitor	42	20	77347.0	1841.595238095238
20140322	Returning Visitor	21	13	20887.0	994.6190476190476
20140323	Returning Visitor	34	16	58189.0	1711.4411764705883
20140324	Returning Visitor	44	20	84816.0	1927.6363636363637
20140325	Returning Visitor	45	20	83010.0	1844.6666666666667
20140326	Returning Visitor	23	16	55385.0	2408.0434782608695
20140327	Returning Visitor	43	20	84757.0	1971.093023255814
20140328	Returning Visitor	43	21	92628.0	2154.139534883721
20140329	Returning Visitor	17	12	47236.0	2778.5882352941176
20140330	Returning Visitor	25	12	54038.0	2161.52
20140331	Returning Visitor	30	16	73881.0	2462.7
20140401	Returning Visitor	32	16	56282.0	1758.8125
20140402	Returning Visitor	42	21	92597.0	2204.690476190476
20140403	Returning Visitor	41	23	72178.0	1760.439024390244
20140404	Returning Visitor	32	16	78744.0	2460.75
20140405	Returning Visitor	33	15	46818.0	1418.7272727272727
20140406	Returning Visitor	33	16	70341.0	2131.5454545454545
20140407	Returning Visitor	31	13	47485.0	1531.774193548387
20140408	Returning Visitor	37	20	71680.0	1937.2972972972973
20140409	Returning Visitor	36	17	83462.0	2318.3888888888887
20140410	Returning Visitor	43	16	100453.0	2336.1162790697676
20140411	Returning Visitor	38	16	76210.0	2005.5263157894738
20140412	Returning Visitor	36	13	78164.0	2171.222222222222
20140413	Returning Visitor	28	14	76447.0	2730.25
20140414	Returning Visitor	28	13	60365.0	2155.8928571428573
20140415	Returning Visitor	32	13	52650.0	1645.3125
20140416	Returning Visitor	25	13	66237.0	2649.48
20140417	Returning Visitor	34	14	70392.0	2070.3529411764707
20140418	Returning Visitor	33	13	60357.0	1829.0
20140419	Returning Visitor	26	12	60370.0	2321.923076923077
20140420	Returning Visitor	38	12	96471.0	2538.7105263157896
